Acronym,Definition,Comment,Link,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
TLD,Top Level Domain,"the TLD is the last part of a domain name, such as .com, .net, .org, a two letter country domain, or one of several other TLDs out there.",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TLS,Transport Layer Security,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TOCTOU ,Time-of-check to time-of-use, a class of software bugs caused by a race condition involving the checking of the state of a part of a system (such as a security credential) and the use of the results of that check,https://en.wikipedia.org/wiki/Time-of-check_to_time-of-use,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
TOS,Type of Service ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TPM,Trusted Platform Module,"Trusted Platform Module (TPM, also known as ISO/IEC 11889) is an international standard for a secure cryptoprocessor, a dedicated microcontroller designed to secure hardware through integrated cryptographic keys. The term can also refer to a chip conforming to the standard.",https://en.wikipedia.org/wiki/Trusted_Platform_Module,2023-09-11T08:34:00Z,GW,2023-09-11T08:34:00Z,GW
TPO,Trusted Post Office,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TQM,Total Quality Management ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TTP,Trusted Third Party,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TTP,"Tactics, Techniques, and Procedures ",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
UDP,User Datagram Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
UEFI,Unified Extensible Firmware Interface,UEFI (Unified Extensible Firmware Interface) is a set of specifications written by the UEFI Forum. They define the architecture of the platform firmware used for booting and its interface for interaction with the operating system.,https://en.wikipedia.org/wiki/UEFI,2023-03-09T09:35:00Z,GW,2023-03-09T09:35:00Z,GW
UID,User ID,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
URIS,Uniform Resource Identifiers ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
URL,Uniform Resource Locator ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
UTC,Coordinated Universal Time,"This abbreviation comes as a result of the International Telecommunication Union and the International Astronomical Union wanting to use the same abbreviation in all languages. English speakers originally proposed CUT (for ""coordinated universal time""), while French speakers proposed TUC (for ""temps universel coordonné""). The compromise that emerged was UTC,[7] which conforms to the pattern for the abbreviations of the variants of Universal Time (UT0, UT1, UT2, UT1R, etc.).[8]",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VDI,Virtual Desktop Infrastructure,Virtual Desktop Infrastructure (VDI) is a technology that refers to the use of virtual machines to provide and manage virtual desktops.,https://en.wikipedia.org/wiki/VDI,2023-02-20T08:41:25Z,GW,2023-02-20T08:41:25Z,GW
VERIS,the Vocabulary for Event Recording and Incident Sharing ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VIP,Validation and ID Protection,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VLAN,Virtual Local Area Network,A virtual local area network is a logical subnetwork that groups a collection of devices from different physical LANs.,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VMM,Virtual Machine Manager,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VNA,Vendor Neutral Archive ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VNC,Virtual Network Computing,irtual Network Computing (VNC) is a graphical desktop-sharing system that uses the Remote Frame Buffer protocol (RFB) to remotely control another computer.,https://en.wikipedia.org/wiki/Virtual_Network_Computing,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VOIP, Voice Over IP (Voice Over the Internet Protocol),,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
VPC,Virtual Private Cloud,"A virtual private cloud (VPC) is an on-demand configurable pool of shared resources allocated within a public cloud environment, providing a certain level of isolation between the different organizations (denoted as users hereafter) using the resources.  ",https://en.wikipedia.org/wiki/Virtual_private_cloud,2023-01-23T09:27:00Z,GW,2023-01-23T09:27:00Z,GW
VPN,Virtual Private Network,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
W3C,World Wide Web Consortium,The World Wide Web Consortium (W3C) is the main international standards organization for the World Wide Web.,https://en.wikipedia.org/wiki/World_Wide_Web_Consortium,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
WAF,Web Application Firewall,"A web application firewall (WAF) is a specific form of application firewall that filters, monitors, and blocks HTTP traffic to and from a web service. ",https://en.wikipedia.org/wiki/Web_application_firewall,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WAMP,"Windows, Apache, MySQL, PHP ",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WAN,Wide Area Network,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WAP,Web Application Proxy,is a role service in Windows Server Remote Access,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WEBAUTHN,Web Authentication,a web standard published by the World Wide Web Consortium (W3C),https://en.wikipedia.org/wiki/WebAuthn,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
WISA,"Windows, IIS, SQL, ASP.NET",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WLAN,Wireless Local Area Network ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WLC,Wireless LAN Controller ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WMI,Windows Management Instrumentation,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WSA,Cisco Web Security Appliance ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WSTG,Web Security Testing Guide,,https://owasp.org/www-project-web-security-testing-guide/,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WSUS,Windows Server Update Services,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
WWW,Word Wide Web,"The World Wide Web (WWW), commonly known as the Web, is an information system enabling documents and other web resources to be accessed over the Internet ",https://en.wikipedia.org/wiki/World_Wide_Web,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
X.509,In cryptography,X.509 is an International Telecommunication Union (ITU) standard defining the format of public key certificates. X.509 certificates are used in many Internet protocols,,2023-01-23T09:27:00Z,GW,2023-01-23T09:27:00Z,GW
X509,In cryptography,X.509 is an International Telecommunication Union (ITU) standard defining the format of public key certificates. X.509 certificates are used in many Internet protocols,,2023-01-23T09:27:00Z,GW,2023-01-23T09:27:00Z,GW
XFS,Linux file system,"Good industry standard. Good performance when dealing with large files, but has worse performance when dealing with many small files",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
YUM,Yellow Dog Updater,"Just as APT is a more advanced front-end for dpkg, YUM (Yellow Dog Updater) is the most popular choice as front-end for RPM, the basic package management software for RHEL operating systems.",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ZFS,"Z File System, Linux file system","Good industry standard. Good performance when dealing with large files, but has worse performance when dealing with many small files",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ZPF,Zone Policy Firewalls,,,2022-12-22T11:01:00Z,GW,2022-12-22T11:01:00Z,GW
